postcode,crimes,,,,,,,,,,,,,,
2717,282,,,,,,,,,,,,,,
2720,1027,,,,,,,,,,,,,,
2721,12,,,,,,,,,,,,,,
2722,290,,,,,,,,,,,,,,
2725,12,,,,,,,,,,,,,,
2726,10,,,,,,,,,,,,,,
2727,19,,,,,,,,,,,,,,
2729,149,,,,,,,,,,,,,,
2730,165,,,,,,,,,,,,,,
2731,543,,,,,,,,,,,,,,
2732,116,,,,,,,,,,,,,,
2733,64,,,,,,,,,,,,,,
2734,19,,,,,,,,,,,,,,
2735,7,,,,,,,,,,,,,,
2736,14,,,,,,,,,,,,,,
2737,57,,,,,,,,,,,,,,
2738,70,,,,,,,,,,,,,,
2739,157,,,,,,,,,,,,,,
2745,988,,,,,,,,,,,,,,
2747,3706,,,,,,,,,,,,,,
2748,94,,,,,,,,,,,,,,
2749,996,,,,,,,,,,,,,,
2750,6309,,,,,,,,,,,,,,
2752,112,,,,,,,,,,,,,,
2753,1383,,,,,,,,,,,,,,
2754,364,,,,,,,,,,,,,,
2755,26,,,,,,,,,,,,,,
2756,2650,,,,,,,,,,,,,,
2757,26,,,,,,,,,,,,,,
2758,183,,,,,,,,,,,,,,
2759,1032,,,,,,,,,,,,,,
2760,4287,,,,,,,,,,,,,,
2761,1623,,,,,,,,,,,,,,
2762,367,,,,,,,,,,,,,,
2763,1056,,,,,,,,,,,,,,
2765,1362,,,,,,,,,,,,,,
2766,1201,,,,,,,,,,,,,,
2767,1817,,,,,,,,,,,,,,
2768,741,,,,,,,,,,,,,,
2769,224,,,,,,,,,,,,,,
2770,9169,,,,,,,,,,,,,,
2773,230,,,,,,,,,,,,,,
2774,516,,,,,,,,,,,,,,
2775,150,,,,,,,,,,,,,,
2776,132,,,,,,,,,,,,,,
2777,716,,,,,,,,,,,,,,
2778,70,,,,,,,,,,,,,,
2779,172,,,,,,,,,,,,,,
2780,1318,,,,,,,,,,,,,,
2782,223,,,,,,,,,,,,,,
2783,110,,,,,,,,,,,,,,
2784,25,,,,,,,,,,,,,,
2785,188,,,,,,,,,,,,,,
2786,153,,,,,,,,,,,,,,
2787,302,,,,,,,,,,,,,,
2790,1635,,,,,,,,,,,,,,
2791,15,,,,,,,,,,,,,,
2792,5,,,,,,,,,,,,,,
2793,44,,,,,,,,,,,,,,
2794,1377,,,,,,,,,,,,,,
2795,4054,,,,,,,,,,,,,,
2797,12,,,,,,,,,,,,,,
2798,66,,,,,,,,,,,,,,
2799,322,,,,,,,,,,,,,,
2800,5324,,,,,,,,,,,,,,
2803,11,,,,,,,,,,,,,,
2804,151,,,,,,,,,,,,,,
2805,28,,,,,,,,,,,,,,
2806,51,,,,,,,,,,,,,,
2807,31,,,,,,,,,,,,,,
2808,24,,,,,,,,,,,,,,
2809,9,,,,,,,,,,,,,,
2810,144,,,,,,,,,,,,,,
2817,13,,,,,,,,,,,,,,
2818,26,,,,,,,,,,,,,,
2820,1849,,,,,,,,,,,,,,
2821,857,,,,,,,,,,,,,,
2822,38,,,,,,,,,,,,,,
2823,135,,,,,,,,,,,,,,
2824,403,,,,,,,,,,,,,,
2825,298,,,,,,,,,,,,,,
2826,11,,,,,,,,,,,,,,
2827,488,,,,,,,,,,,,,,
2828,189,,,,,,,,,,,,,,
2829,789,,,,,,,,,,,,,,
2830,6702,,,,,,,,,,,,,,
2831,171,,,,,,,,,,,,,,
2832,856,,,,,,,,,,,,,,
2833,99,,,,,,,,,,,,,,
2834,392,,,,,,,,,,,,,,
2835,656,,,,,,,,,,,,,,
2836,515,,,,,,,,,,,,,,
2838,30,,,,,,,,,,,,,,
2839,405,,,,,,,,,,,,,,
2840,1600,,,,,,,,,,,,,,
2842,43,,,,,,,,,,,,,,
2843,67,,,,,,,,,,,,,,
2844,101,,,,,,,,,,,,,,
2845,157,,,,,,,,,,,,,,
2846,35,,,,,,,,,,,,,,
2847,164,,,,,,,,,,,,,,
2848,180,,,,,,,,,,,,,,
2849,153,,,,,,,,,,,,,,
2850,1633,,,,,,,,,,,,,,
2852,252,,,,,,,,,,,,,,
2864,21,,,,,,,,,,,,,,
2865,22,,,,,,,,,,,,,,
2866,137,,,,,,,,,,,,,,
2867,33,,,,,,,,,,,,,,
2868,25,,,,,,,,,,,,,,
2869,178,,,,,,,,,,,,,,
2870,1713,,,,,,,,,,,,,,
2871,1142,,,,,,,,,,,,,,
2873,56,,,,,,,,,,,,,,
2874,24,,,,,,,,,,,,,,
2875,100,,,,,,,,,,,,,,
2876,28,,,,,,,,,,,,,,
2877,593,,,,,,,,,,,,,,
2878,47,,,,,,,,,,,,,,
2879,60,,,,,,,,,,,,,,
2880,2342,,,,,,,,,,,,,,
2898,20,,,,,,,,,,,,,,
